level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1944	3549	-1	
2	1	1	0	0	0	0	694	1944	2855	-1	
3	1	1	1	0	0	328	662	1615	117	-1	
4	1	1	1	1	0	328	694	1615	67	-1	
5	1	1	1	1	1	328	699	207	61	28	Goed
5	1	1	1	1	2	556	705	190	56	28	eten.
5	1	1	1	1	3	779	704	177	56	96	Daar
5	1	1	1	1	4	980	701	284	59	96	houden
5	1	1	1	1	5	1286	714	105	46	94	we
5	1	1	1	1	6	1413	715	153	44	95	van.
5	1	1	1	1	7	1920	694	23	43	20	8
3	1	1	2	0	0	571	962	1372	107	-1	
4	1	1	2	1	0	571	962	470	107	-1	
5	1	1	2	1	1	571	963	142	106	92	PLUS
5	1	1	2	1	2	751	962	290	106	76	Winnubst
3	1	1	3	0	0	271	1081	1672	81	-1	
4	1	1	3	1	0	271	1081	1668	81	-1	
5	1	1	3	1	1	271	1106	60	51	65	V.
5	1	1	3	1	2	383	1106	255	53	93	Weerden
5	1	1	3	1	3	683	1105	464	54	92	Poelmanstraat
5	1	1	3	1	4	1189	1102	67	51	93	47
5	1	1	3	1	5	1298	1103	30	50	32	A
5	1	1	3	1	6	1920	1081	19	81	21	5
3	1	1	4	0	0	533	1182	1410	78	-1	
4	1	1	4	1	0	533	1182	1410	78	-1	
5	1	1	4	1	1	533	1185	141	52	90	6417
5	1	1	4	1	2	720	1184	64	53	95	EJ
5	1	1	4	1	3	829	1182	245	53	93	Heerlen
5	1	1	4	1	4	1919	1191	24	69	0	:
3	1	1	5	0	0	43	1258	1900	545	-1	
4	1	1	5	1	0	533	1258	1410	73	-1	
5	1	1	5	1	1	533	1264	133	52	93	Tel:
5	1	1	5	1	2	718	1258	393	57	90	045-5411774
5	1	1	5	1	3	1920	1302	23	29	0	:
4	1	1	5	2	0	43	1330	1897	71	-1	
5	1	1	5	2	1	323	1358	508	19	17	nn
5	1	1	5	2	2	1920	1330	20	71	56	:
4	1	1	5	3	0	199	1412	1744	73	-1	
5	1	1	5	3	1	199	1420	442	65	95	Omschrijving
5	1	1	5	3	2	976	1414	246	64	78	P.st/Kg
5	1	1	5	3	3	1339	1412	209	63	93	Bedrag
5	1	1	5	3	4	1920	1421	23	48	31	5
4	1	1	5	4	0	44	1496	1897	42	-1	
5	1	1	5	4	1	130	1515	665	22	23	mn
5	1	1	5	4	2	1325	1507	480	18	29	EEE
5	1	1	5	4	3	1920	1496	21	42	54	2
